graph,n_sample,iter,d_cpdag,obj,TPR,FPR,time
1,50,1,7,11.155179057950587,0.42857142857142855,0.0,0.06920433044433594
1,50,2,1,11.583048120476413,0.5714285714285714,0.021505376344086023,0.007840871810913086
1,50,3,3,11.774011504033442,0.5714285714285714,0.010752688172043012,0.006341457366943359
1,50,4,3,10.661821504262491,0.5714285714285714,0.010752688172043012,0.011629343032836914
1,50,5,3,11.090859038095246,0.42857142857142855,0.021505376344086023,0.006127357482910156
1,50,6,6,10.903447637793404,0.5714285714285714,0.010752688172043012,0.07568073272705078
1,50,7,3,10.903349326256862,0.5714285714285714,0.010752688172043012,0.008608341217041016
1,50,8,5,11.604442945876707,0.42857142857142855,0.010752688172043012,0.06917548179626465
1,50,9,1,10.545682360915215,0.5714285714285714,0.021505376344086023,0.0067234039306640625
1,50,10,1,11.421098069394654,0.5714285714285714,0.021505376344086023,0.0064697265625
1,100,1,0,11.404316466204921,0.7142857142857143,0.021505376344086023,0.005825042724609375
1,100,2,1,10.999495436450829,0.5714285714285714,0.021505376344086023,0.01084589958190918
1,100,3,0,10.65769638774113,0.7142857142857143,0.021505376344086023,0.006398916244506836
1,100,4,3,10.160817574800223,0.5714285714285714,0.03225806451612903,0.07738995552062988
1,100,5,0,10.928971240043836,0.7142857142857143,0.021505376344086023,0.006138324737548828
1,100,6,0,10.92792888118418,0.7142857142857143,0.021505376344086023,0.0713961124420166
1,100,7,1,10.329841471224851,0.5714285714285714,0.021505376344086023,0.007999420166015625
1,100,8,2,11.146263507085933,0.7142857142857143,0.010752688172043012,0.007317781448364258
1,100,9,1,9.878572597968292,0.5714285714285714,0.021505376344086023,0.012181758880615234
1,100,10,1,10.369335726199955,0.5714285714285714,0.021505376344086023,0.006241321563720703
1,200,1,0,11.16547548882984,0.7142857142857143,0.021505376344086023,0.0702219009399414
1,200,2,0,10.466624224523576,0.7142857142857143,0.021505376344086023,0.008992671966552734
1,200,3,0,10.366393857062164,0.7142857142857143,0.021505376344086023,0.006147623062133789
1,200,4,0,10.105479972602243,0.7142857142857143,0.021505376344086023,0.012510299682617188
1,200,5,0,10.493126452104601,0.7142857142857143,0.021505376344086023,0.006364583969116211
1,200,6,0,10.410184681050906,0.7142857142857143,0.021505376344086023,0.013148307800292969
1,200,7,0,10.451352724513592,0.7142857142857143,0.021505376344086023,0.0063648223876953125
1,200,8,0,10.752662134747451,0.7142857142857143,0.021505376344086023,0.005457878112792969
1,200,9,0,9.912869551042249,0.7142857142857143,0.021505376344086023,0.007881879806518555
1,200,10,0,10.657835945772918,0.7142857142857143,0.021505376344086023,0.00542140007019043
1,300,1,0,10.997156117242717,0.7142857142857143,0.021505376344086023,0.07639622688293457
1,300,2,0,10.465309157738607,0.7142857142857143,0.021505376344086023,0.0058977603912353516
1,300,3,0,10.334092182284882,0.7142857142857143,0.021505376344086023,0.06977224349975586
1,300,4,0,9.908244708837076,0.7142857142857143,0.021505376344086023,0.0059468746185302734
1,300,5,0,10.493222334092954,0.7142857142857143,0.021505376344086023,0.004355907440185547
1,300,6,0,10.303435701027146,0.7142857142857143,0.021505376344086023,0.07392668724060059
1,300,7,0,10.201106806856197,0.7142857142857143,0.021505376344086023,0.00529026985168457
1,300,8,0,10.563670514168532,0.7142857142857143,0.021505376344086023,0.005349874496459961
1,300,9,0,10.011653275267673,0.7142857142857143,0.021505376344086023,0.0076122283935546875
1,300,10,0,10.612741133450418,0.7142857142857143,0.021505376344086023,0.005549430847167969
1,400,1,0,10.907457344373091,0.7142857142857143,0.021505376344086023,0.005423784255981445
1,400,2,0,10.321133809681767,0.7142857142857143,0.021505376344086023,0.006850719451904297
1,400,3,0,10.31401342830255,0.7142857142857143,0.021505376344086023,0.004320621490478516
1,400,4,0,9.821434883223093,0.7142857142857143,0.021505376344086023,0.004904270172119141
1,400,5,0,10.328938691245384,0.7142857142857143,0.021505376344086023,0.005777835845947266
1,400,6,0,10.224709735158823,0.7142857142857143,0.021505376344086023,0.004364013671875
1,400,7,0,10.167357620475858,0.7142857142857143,0.021505376344086023,0.004433870315551758
1,400,8,0,10.683394428110399,0.7142857142857143,0.021505376344086023,0.0049893856048583984
1,400,9,0,9.865085681518757,0.7142857142857143,0.021505376344086023,0.004427433013916016
1,400,10,0,10.662122470205633,0.7142857142857143,0.021505376344086023,0.06982851028442383
1,500,1,0,10.733477589071258,0.7142857142857143,0.021505376344086023,0.005716562271118164
1,500,2,0,10.17374918604256,0.7142857142857143,0.021505376344086023,0.005420207977294922
1,500,3,0,10.30648349262944,0.7142857142857143,0.021505376344086023,0.00446772575378418
1,500,4,0,9.897093178673625,0.7142857142857143,0.021505376344086023,0.007565736770629883
1,500,5,0,10.379644328680719,0.7142857142857143,0.021505376344086023,0.004374980926513672
1,500,6,0,10.271493756612953,0.7142857142857143,0.021505376344086023,0.07296204566955566
1,500,7,0,10.156978696139552,0.7142857142857143,0.021505376344086023,0.005972862243652344
1,500,8,0,10.567744217908354,0.7142857142857143,0.021505376344086023,0.0043926239013671875
1,500,9,0,9.907036947123997,0.7142857142857143,0.021505376344086023,0.006685495376586914
1,500,10,0,10.620315117038325,0.7142857142857143,0.021505376344086023,0.00549769401550293
1,800,1,0,10.529364565698163,0.7142857142857143,0.021505376344086023,0.0710306167602539
1,800,2,0,10.081790496111289,0.7142857142857143,0.021505376344086023,0.0049266815185546875
1,800,3,0,10.263743938947288,0.7142857142857143,0.021505376344086023,0.00559544563293457
1,800,4,0,10.074290856344833,0.7142857142857143,0.021505376344086023,0.0068511962890625
1,800,5,0,10.347214473684692,0.7142857142857143,0.021505376344086023,0.004465818405151367
1,800,6,0,10.20715840788038,0.7142857142857143,0.021505376344086023,0.0041697025299072266
1,800,7,0,10.288276809030279,0.7142857142857143,0.021505376344086023,0.005403995513916016
1,800,8,0,10.456037854018197,0.7142857142857143,0.021505376344086023,0.07156872749328613
1,800,9,0,9.987477918822325,0.7142857142857143,0.021505376344086023,0.00538182258605957
1,800,10,0,10.387866002894697,0.7142857142857143,0.021505376344086023,0.0044934749603271484
1,1000,1,0,10.374318367894153,0.7142857142857143,0.021505376344086023,0.011147737503051758
1,1000,2,0,10.092639217037426,0.7142857142857143,0.021505376344086023,0.0038633346557617188
1,1000,3,0,10.190384534356625,0.7142857142857143,0.021505376344086023,0.004396915435791016
1,1000,4,0,10.05165517658462,0.7142857142857143,0.021505376344086023,0.005097866058349609
1,1000,5,0,10.360956272797452,0.7142857142857143,0.021505376344086023,0.0036323070526123047
1,1000,6,0,10.205529149677204,0.7142857142857143,0.021505376344086023,0.0684356689453125
1,1000,7,0,10.255819103574227,0.7142857142857143,0.021505376344086023,0.004210472106933594
1,1000,8,0,10.3859343261493,0.7142857142857143,0.021505376344086023,0.0037271976470947266
1,1000,9,0,9.969745192350048,0.7142857142857143,0.021505376344086023,0.06949663162231445
1,1000,10,0,10.236220259038976,0.7142857142857143,0.021505376344086023,0.0044918060302734375
1,1600,1,0,10.14716186248838,0.7142857142857143,0.021505376344086023,0.0036971569061279297
1,1600,2,0,10.174257536155938,0.7142857142857143,0.021505376344086023,0.0053217411041259766
1,1600,3,0,10.187692949166111,0.7142857142857143,0.021505376344086023,0.003763437271118164
1,1600,4,0,10.1205672845003,0.7142857142857143,0.021505376344086023,0.004450321197509766
1,1600,5,0,10.266818621287264,0.7142857142857143,0.021505376344086023,0.0037775039672851562
1,1600,6,0,10.124567280812618,0.7142857142857143,0.021505376344086023,0.07237529754638672
1,1600,7,0,10.265321175091458,0.7142857142857143,0.021505376344086023,0.0040743350982666016
1,1600,8,0,10.289047985309189,0.7142857142857143,0.021505376344086023,0.007052898406982422
1,1600,9,0,9.974374644115388,0.7142857142857143,0.021505376344086023,0.0037534236907958984
1,1600,10,0,10.199140938296303,0.7142857142857143,0.021505376344086023,0.003914833068847656
1,3200,1,0,10.164529131994914,0.7142857142857143,0.021505376344086023,0.0038695335388183594
1,3200,2,0,10.168218399572094,0.7142857142857143,0.021505376344086023,0.004382133483886719
1,3200,3,0,10.241082139371462,0.7142857142857143,0.021505376344086023,0.009145975112915039
1,3200,4,0,10.02847208660554,0.7142857142857143,0.021505376344086023,0.004846811294555664
1,3200,5,0,10.31584229531498,0.7142857142857143,0.021505376344086023,0.004390716552734375
1,3200,6,0,10.115387866342711,0.7142857142857143,0.021505376344086023,0.008504629135131836
1,3200,7,0,10.201914325857091,0.7142857142857143,0.021505376344086023,0.003998756408691406
1,3200,8,0,10.132492398434835,0.7142857142857143,0.021505376344086023,0.0038712024688720703
1,3200,9,0,10.068411814962676,0.7142857142857143,0.021505376344086023,0.00676274299621582
1,3200,10,0,10.145618300327952,0.7142857142857143,0.021505376344086023,0.0038640499114990234
