"graph","n_sample","iter","time","d_cpdag","TPR","FPR","obj"
1,50,1,0.0455281734466553,9,0,0,10.6864485596755
1,50,2,0.172734975814819,3,0.666666666666667,0,11.4919200241392
1,50,3,0.010836124420166,9,0,0,10.9678763164641
1,50,4,0.00697898864746094,9,0,0,10.3076848745005
1,50,5,0.00755596160888672,9,0,0,11.4805186855758
1,50,6,0.0065619945526123,9,0.111111111111111,0.0101010101010101,10.9303060260305
1,50,7,0.0064089298248291,9,0,0,10.5453778035888
1,50,8,0.00843501091003418,9,0.222222222222222,0.0204081632653061,11.0621464046522
1,50,9,0.00887894630432129,7,0.222222222222222,0,9.97083960308127
1,50,10,0.00869989395141602,9,0,0,10.7190501975374
1,100,1,0.00891399383544922,5,0.555555555555556,0.0105263157894737,11.1572562329295
1,100,2,0.00711894035339355,1,0.888888888888889,0,10.3092517622041
1,100,3,0.00658607482910156,1,0.888888888888889,0,10.1107033950571
1,100,4,0.00595903396606445,5,0.666666666666667,0.0212765957446809,9.56164681131269
1,100,5,0.00765299797058105,7,0.333333333333333,0.0103092783505155,10.5548832675274
1,100,6,0.00767111778259277,8,0.222222222222222,0.0102040816326531,10.4849897513691
1,100,7,0.00607800483703613,3,0.777777777777778,0.010752688172043,9.68309785691899
1,100,8,0.00676417350769043,5,0.555555555555556,0.0105263157894737,10.6070922448994
1,100,9,0.00742197036743164,3,0.777777777777778,0.010752688172043,9.50389441473574
1,100,10,0.00695085525512695,1,0.888888888888889,0,9.87688947542104
1,200,1,0.00739002227783203,1,0.888888888888889,0,10.6316039250208
1,200,2,0.00830197334289551,1,0.888888888888889,0,9.98893854502166
1,200,3,0.00679302215576172,1,0.888888888888889,0,9.80730094170197
1,200,4,0.00775599479675293,1,0.888888888888889,0,9.59822501350357
1,200,5,0.0069580078125,1,0.888888888888889,0,10.0178084513649
1,200,6,0.00784611701965332,1,0.888888888888889,0,9.92012907821053
1,200,7,0.00575113296508789,1,0.888888888888889,0,9.92641953995128
1,200,8,0.00677895545959473,1,0.888888888888889,0,10.2565853547574
1,200,9,0.00651407241821289,7,0.555555555555556,0.0315789473684211,9.37553055653067
1,200,10,0.00647401809692383,1,0.888888888888889,0,10.2068320217563
1,300,1,0.00638604164123535,1,0.888888888888889,0,10.4586110018234
1,300,2,0.0061028003692627,0,1,0,9.96373582385428
1,300,3,0.00648093223571777,1,0.888888888888889,0,9.81939495231591
1,300,4,0.00581502914428711,0,1,0,9.3651699640141
1,300,5,0.00615096092224121,1,0.888888888888889,0,10.0123684817672
1,300,6,0.00627017021179199,0,1,0,9.78689410332915
1,300,7,0.00669193267822266,1,0.888888888888889,0,9.65524596261919
1,300,8,0.00628900527954102,1,0.888888888888889,0,10.0482621096104
1,300,9,0.0070500373840332,0,1,0,9.50520292505183
1,300,10,0.00660204887390137,1,0.888888888888889,0,10.1257666321377
1,400,1,0.00763893127441406,0,1,0,10.4073203997799
1,400,2,0.00815892219543457,3,0.777777777777778,0.010752688172043,9.7989096148024
1,400,3,0.00678014755249023,0,1,0,9.80080111667644
1,400,4,0.00584316253662109,0,1,0,9.28344371219957
1,400,5,0.00824904441833496,0,1,0,9.82744215291777
1,400,6,0.00630903244018555,0,1,0,9.71177716978365
1,400,7,0.00853085517883301,0,1,0,9.65630132364802
1,400,8,0.00777101516723633,0,1,0,10.1808650010243
1,400,9,0.0066530704498291,0,1,0,9.35290031570742
1,400,10,0.00760006904602051,0,1,0,10.1480922683221
1,500,1,0.00575900077819824,0,1,0,10.1879556570418
1,500,2,0.00589108467102051,0,1,0,9.6443474358555
1,500,3,0.00797891616821289,0,1,0,9.8188561509905
1,500,4,0.00695896148681641,0,1,0,9.37300703956238
1,500,5,0.00630402565002441,0,1,0,9.86909851464418
1,500,6,0.00897502899169922,0,1,0,9.74376168172538
1,500,7,0.00698208808898926,0,1,0,9.63739486196909
1,500,8,0.0058751106262207,0,1,0,10.045872590154
1,500,9,0.00566911697387695,0,1,0,9.39347575291161
1,500,10,0.0103929042816162,0,1,0,10.1146216899714
2,50,1,0.0092461109161377,12,0.142857142857143,0,9.8348560102444
2,50,2,0.00559401512145996,12,0.357142857142857,0.0315789473684211,10.6406814107997
2,50,3,0.00508689880371094,14,0.0714285714285714,0.0101010101010101,10.4989495594836
2,50,4,0.00635910034179688,12,0.285714285714286,0.0208333333333333,8.83204885284352
2,50,5,0.00745606422424316,12,0.357142857142857,0.0315789473684211,9.51041059870125
2,50,6,0.037606954574585,12,0.214285714285714,0.0103092783505155,9.90008113537135
2,50,7,0.00666308403015137,12,0.214285714285714,0.0103092783505155,9.75766891459045
2,50,8,0.00646710395812988,10,0.357142857142857,0.0105263157894737,11.2616842971344
2,50,9,0.00757884979248047,10,0.357142857142857,0.0105263157894737,9.31310925807276
2,50,10,0.00652408599853516,12,0.214285714285714,0.0103092783505155,9.78445934426107
2,100,1,0.00764918327331543,7,0.642857142857143,0.021978021978022,8.60368140723593
2,100,2,0.00845694541931152,9,0.714285714285714,0.0555555555555556,7.72150141453165
2,100,3,0.00623798370361328,8,0.642857142857143,0.032967032967033,7.82931375456299
2,100,4,0.00682592391967773,4,0.857142857142857,0.0227272727272727,7.13867032180908
2,100,5,0.00613498687744141,8,0.642857142857143,0.032967032967033,7.82749929062462
2,100,6,0.00774884223937988,7,0.642857142857143,0.021978021978022,8.00937098250434
2,100,7,0.00661897659301758,4,0.785714285714286,0.0112359550561798,7.41812441190693
2,100,8,0.00947713851928711,7,0.785714285714286,0.0449438202247191,8.07364598924718
2,100,9,0.00657892227172852,4,0.857142857142857,0.0227272727272727,7.20856017890956
2,100,10,0.00726699829101562,4,0.857142857142857,0.0227272727272727,7.59985106510497
2,200,1,0.00858187675476074,0,1,0,7.60426013187044
2,200,2,0.00967097282409668,10,0.714285714285714,0.0666666666666667,7.03626105627541
2,200,3,0.00689291954040527,5,0.857142857142857,0.0340909090909091,7.17044211678108
2,200,4,0.0083460807800293,0,1,0,6.5923278152433
2,200,5,0.00875496864318848,10,0.714285714285714,0.0666666666666667,7.06131800097232
2,200,6,0.00668883323669434,5,0.857142857142857,0.0340909090909091,7.06126581622732
2,200,7,0.00835990905761719,12,0.642857142857143,0.0769230769230769,6.98078279257124
2,200,8,0.00759005546569824,8,0.857142857142857,0.0681818181818182,7.34171769276349
2,200,9,0.0381748676300049,10,0.714285714285714,0.0666666666666667,6.47584196674134
2,200,10,0.00936293601989746,0,1,0,7.18593348666741
2,300,1,0.0173289775848389,0,1,0,7.32646723724417
2,300,2,0.0108420848846436,0,1,0,6.81037543601641
2,300,3,0.00816202163696289,10,0.714285714285714,0.0666666666666667,6.76573714536995
2,300,4,0.00693893432617188,0,1,0,6.26641567856429
2,300,5,0.00830411911010742,8,0.785714285714286,0.0561797752808989,6.9195509373884
2,300,6,0.00714516639709473,0,1,0,6.66621854570715
2,300,7,0.00763082504272461,8,0.785714285714286,0.0561797752808989,6.64599736383187
2,300,8,0.00957107543945312,0,1,0,6.92212558867243
2,300,9,0.00851798057556152,10,0.714285714285714,0.0666666666666667,6.44340981783925
2,300,10,0.00703907012939453,5,0.857142857142857,0.0340909090909091,7.22803075086386
2,400,1,0.00892996788024902,0,1,0,7.21474885564283
2,400,2,0.00838708877563477,0,1,0,6.62925615439962
2,400,3,0.00678896903991699,0,1,0,6.63252992686102
2,400,4,0.00908803939819336,0,1,0,6.12960470174414
2,400,5,0.00786280632019043,0,1,0,6.62959085918803
2,400,6,0.00911092758178711,0,1,0,6.52628786304325
2,400,7,0.00748801231384277,0,1,0,6.47360059009858
2,400,8,0.00731992721557617,0,1,0,7.03176502466277
2,400,9,0.00970292091369629,0,1,0,6.17689515163962
2,400,10,0.00701999664306641,0,1,0,7.00719728912463
2,500,1,0.00726008415222168,0,1,0,7.02451734130523
2,500,2,0.00977897644042969,0,1,0,6.4743742137561
2,500,3,0.00721192359924316,8,0.785714285714286,0.0561797752808989,6.64946670210343
2,500,4,0.00837802886962891,0,1,0,6.16677894576658
2,500,5,0.00713682174682617,10,0.785714285714286,0.0786516853932584,6.71799577077375
2,500,6,0.0100870132446289,0,1,0,6.56134872845647
2,500,7,0.0072929859161377,0,1,0,6.4212440296195
2,500,8,0.0103960037231445,0,1,0,6.84564523249012
2,500,9,0.00956511497497559,0,1,0,6.20013426422097
2,500,10,0.00778818130493164,0,1,0,6.90847777893909
3,50,1,0.00811100006103516,22,0.166666666666667,0.0208333333333333,15.5934100868057
3,50,2,0.00784397125244141,15,0.458333333333333,0.0224719101123595,16.0383642719276
3,50,3,0.00864791870117188,21,0.166666666666667,0.0104166666666667,15.8757176140511
3,50,4,0.0059659481048584,22,0.166666666666667,0.0208333333333333,15.7102217830312
3,50,5,0.00888299942016602,24,0.166666666666667,0.0416666666666667,15.6433781491361
3,50,6,0.00766205787658691,18,0.375,0.032967032967033,14.7738959693918
3,50,7,0.0120320320129395,15,0.458333333333333,0.0224719101123595,14.4029947050241
3,50,8,0.0417649745941162,16,0.458333333333333,0.0337078651685393,14.9903756531705
3,50,9,0.00813102722167969,17,0.375,0.021978021978022,15.2250068974688
3,50,10,0.00856494903564453,20,0.333333333333333,0.0434782608695652,13.7331715394398
3,100,1,0.00730586051940918,11,0.625,0.0235294117647059,13.6725022150778
3,100,2,0.00789380073547363,15,0.541666666666667,0.0459770114942529,13.0509600450402
3,100,3,0.00971508026123047,16,0.416666666666667,0.0222222222222222,13.2750280059674
3,100,4,0.0104379653930664,6,0.791666666666667,0.0123456790123457,11.8085061488166
3,100,5,0.00791120529174805,14,0.541666666666667,0.0344827586206897,13.6327685211593
3,100,6,0.00805091857910156,15,0.541666666666667,0.0459770114942529,12.7787597654701
3,100,7,0.00857305526733398,14,0.541666666666667,0.0344827586206897,13.2068858575824
3,100,8,0.00834178924560547,12,0.625,0.0352941176470588,13.1371663812904
3,100,9,0.0114588737487793,11,0.666666666666667,0.0357142857142857,11.9835099165792
3,100,10,0.00792384147644043,26,0.208333333333333,0.0736842105263158,13.4640513940048
3,200,1,0.0114500522613525,0,1,0,12.0522891447235
3,200,2,0.00916385650634766,14,0.666666666666667,0.0714285714285714,11.4847815959508
3,200,3,0.00931906700134277,29,0.25,0.117021276595745,12.1600195510424
3,200,4,0.00924897193908691,6,0.875,0.0379746835443038,11.1319253976332
3,200,5,0.0106141567230225,7,0.833333333333333,0.0375,11.5486992378961
3,200,6,0.00870895385742188,6,0.833333333333333,0.025,11.4671953787874
3,200,7,0.011199951171875,7,0.791666666666667,0.0246913580246914,11.4900266436652
3,200,8,0.0118801593780518,6,0.833333333333333,0.025,11.9249810370145
3,200,9,0.00915408134460449,0,1,0,10.7780932879202
3,200,10,0.0112929344177246,0,1,0,11.5782840339819
3,300,1,0.00921010971069336,0,1,0,11.6350067168549
3,300,2,0.0118701457977295,0,1,0,11.1305683919725
3,300,3,0.00883793830871582,0,1,0,10.9922331210092
3,300,4,0.0113229751586914,6,0.875,0.0379746835443038,10.6375154877121
3,300,5,0.00840306282043457,6,0.875,0.0379746835443038,11.2747775556608
3,300,6,0.0112049579620361,6,0.875,0.0379746835443038,11.0531948960058
