graph,n_sample,iter,d_cpdag,obj,RGAP,TPR,FPR,time
3,50,1,19,13.756798134179915,0.0,0.38095238095238093,0.0759493670886076,74.9790313243866
3,50,2,19,14.656511645912953,0.0,0.5238095238095238,0.06329113924050633,315.49877524375916
3,50,3,19,13.885609781018399,9.658414056015131e-05,0.42857142857142855,0.05063291139240506,25.158121585845947
3,50,4,14,13.580649089954955,0.0,0.5714285714285714,0.05063291139240506,376.75438356399536
3,50,5,10,13.542248146526807,4.7930283142273364e-05,0.5238095238095238,0.06329113924050633,21.211601734161377
3,50,6,25,13.613694115823069,0.0,0.3333333333333333,0.11392405063291139,132.99774479866028
3,50,7,17,13.436049136304261,0.0,0.42857142857142855,0.06329113924050633,305.98085379600525
3,50,8,22,14.214443373720389,0.0,0.2857142857142857,0.11392405063291139,133.3438160419464
3,50,9,8,13.264193019661572,0.026732082719098008,0.6190476190476191,0.05063291139240506,500.4955654144287
3,50,10,13,13.984130389864122,0.0,0.5714285714285714,0.02531645569620253,58.36472201347351
3,100,1,0,13.081879673688078,0.0,0.9047619047619048,0.02531645569620253,252.24321293830872
3,100,2,0,12.588878783354609,0.0,0.9523809523809523,0.012658227848101266,422.88472986221313
3,100,3,27,12.205483501837472,3.742069710327764e-05,0.3333333333333333,0.13924050632911392,368.66418862342834
3,100,4,29,11.670544318505385,0.03405676398022602,0.2857142857142857,0.1518987341772152,500.7311954498291
3,100,5,17,12.512569837623522,6.455797677578745e-05,0.6190476190476191,0.0759493670886076,462.62073969841003
3,100,6,15,12.554232429896558,0.0,0.6190476190476191,0.0759493670886076,155.87269282341003
3,100,7,10,11.835978511723148,0.06769566457120836,0.7142857142857143,0.0759493670886076,500.9860270023346
3,100,8,1,12.927695769202037,0.0,0.8571428571428571,0.02531645569620253,199.24645376205444
3,100,9,22,11.515039222940343,0.0,0.5238095238095238,0.10126582278481013,263.27513217926025
3,100,10,0,12.174128521073555,0.04308987099909725,0.9047619047619048,0.02531645569620253,500.60691142082214
